date,1. open,2. high,3. low,4. close,5. volume
2020-12-03,121.85,121.885,120.36,121.24,12904414.0
2020-12-04,122.48,123.29,121.6901,122.34,13583654.0
2020-12-07,121.15,122.17,120.21,121.88,9724307.0
2020-12-08,121.04,122.33,120.76,122.0,9592124.0
2020-12-09,123.17,123.3,120.44,121.05,13073933.0
2020-12-10,119.99,120.7781,119.56,120.27,13668420.0
2020-12-11,118.94,120.02,118.37,119.56,9981643.0
2020-12-14,121.335,121.42,118.105,118.3,12112352.0
2020-12-15,119.29,120.9,118.62,120.32,12591419.0
2020-12-16,120.3,121.08,119.86,120.67,11169364.0
2020-12-17,121.26,121.45,119.58,119.67,11618001.0
2020-12-18,119.14,119.8837,118.27,119.08,28954764.0
2020-12-21,123.17,125.0,121.09,123.55,28323642.0
2020-12-22,123.39,123.52,121.61,121.67,11808882.0
2020-12-23,122.78,126.52,122.35,125.07,14973226.0
2020-12-24,125.09,125.55,123.57,124.52,4164948.0
2020-12-28,125.82,126.65,124.7886,125.34,8021144.0
2020-12-29,126.2,126.2799,124.89,125.01,8389199.0
2020-12-30,125.49,125.845,124.9,125.36,7397964.0
2020-12-31,125.09,127.33,124.82,127.07,8580214.0
2021-01-04,127.5,127.8579,124.78,125.87,16819915.0
2021-01-05,124.99,126.2995,123.77,125.65,13731206.0
2021-01-06,129.88,132.77,127.88,131.55,24909056.0
2021-01-07,135.69,138.19,134.92,135.87,21940387.0
2021-01-08,135.97,136.35,134.12,136.02,12035126.0
2021-01-11,134.58,138.2,134.11,138.05,15949048.0
2021-01-12,139.44,141.6599,138.8301,140.22,17968062.0
2021-01-13,138.59,140.79,138.1,140.35,14816761.0
2021-01-14,140.49,142.75,140.0,141.17,18565597.0
2021-01-15,137.43,141.65,137.01,138.64,27881016.0
2021-01-19,139.86,140.7,137.82,138.04,19843782.0
2021-01-20,137.82,138.17,135.435,135.97,16028845.0
2021-01-21,135.69,136.16,134.325,134.83,13415022.0
2021-01-22,132.69,134.4,132.2,133.79,12933227.0
2021-01-25,132.14,133.17,130.06,132.12,14212764.0
2021-01-26,132.75,133.17,131.34,131.58,11307819.0
